Date, scanner, mean_snr, mean_tsnr
2024-08-10, AWP79139, 389.4, 340.95
2024-08-11, AWP79139, 399.08, 359.32
2024-08-12, AWP79139, 402.46, 376.61
2024-08-13, AWP79139, 401.39, 345.48
2024-08-14, AWP79139, 380.88, 354.6
2024-08-15, AWP79139, 419.05, 362.95
2024-08-16, AWP79139, 424.53, 366.93
2024-08-19, AWP79139, 266.93, 218.62
2024-08-22, AWP79139, 400.15, 361.82
2024-08-23, AWP79139, 412.82, 353.9
2024-08-27, AWP79139, 388.97, 365.35
2024-08-31, AWP79139, 383.89, 343.9
2024-09-01, AWP79139, 352.55, 343.69
2024-09-04, AWP79139, 429.33, 350.49
2024-09-09, AWP79139, 388.47, 359.11
2024-09-10, AWP79139, 400.61, 349.36
2024-09-12, AWP79139, 357.38, 321.04
2024-09-13, AWP79139, 373.7, 369.75
2024-09-14, AWP79139, 401.65, 373.56
2024-09-16, AWP79139, 392.39, 373.78
2024-09-22, AWP79139, 424.37, 411.81
2024-09-23, AWP79139, 394.28, 372.73
2024-09-24, AWP79139, 397.22, 395.85
2024-09-25, AWP79139, 367.58, 386.72
2024-09-26, AWP79139, 411.63, 398.76
2024-09-30, AWP79139, 397.67, 390.39
2024-10-03, AWP79139, 355.08, 317.59
2024-10-07, AWP79139, 385.38, 346.94
2024-10-08, AWP79139, 378.34, 329.4
2024-10-10, AWP79139, 383.4, 372.96
2024-10-12, AWP79139, 414.75, 378.32
2024-10-13, AWP79139, 410.63, 370.96
2024-10-21, AWP79139, 412.16, 379.77
2024-10-23, AWP79139, 405.92, 386.12
2024-10-24, AWP79139, 391.06, 316.89
2024-10-25, AWP79139, 351.76, 351.76
2024-10-26, AWP79139, 359.73, 356.92
2024-10-28, AWP79139, 372, 329.89
2024-11-01, AWP79139, 387.45, 322.66
2024-11-02, AWP79139, 426.92, 394.45
2024-11-04, AWP79139, 419.29, 379.11
2024-11-05, AWP79139, 362.01, 341.98
2024-11-06, AWP79139, 363.25, 337.14
2024-11-07, AWP79139, 390.27, 357.8
