Date, scanner, mean_snr, mean_tsnr
2024-04-07, fmrif3ta, 371.26, 200.52
2024-04-08, fmrif3ta, 345.15, 203.65
2024-04-08, fmrif3tb, 318.26, 196.75
2024-04-09, fmrif3ta, 313.19, 209.18
2024-04-10, fmrif3ta, 353.47, 187.49
2024-04-11, fmrif3ta, 311.61, 200.04
2024-04-12, fmrif3ta, 396.69, 207.09
2024-04-14, fmrif3ta, 427.01, 189
2024-04-15, fmrif3ta, 378.53, 204.06
2024-04-16, fmrif3ta, 403.16, 211.4
2024-04-18, fmrif3ta, 398.87, 196.65
2024-04-23, fmrif3ta, 417.07, 201.82
2024-04-24, fmrif3ta, 325.64, 208.82
2024-04-25, fmrif3ta, 426.25, 202.06
2024-04-26, fmrif3ta, 403.59, 226.23
2024-04-27, fmrif3ta, 355.19, 200.17
2024-04-29, fmrif3ta, 380.32, 209.67
2024-04-30, fmrif3ta, 383.43, 201.25
2024-05-01, fmrif3ta, 428.88, 222.29
2024-05-02, fmrif3ta, 439.92, 221.35
2024-05-03, fmrif3ta, 377.77, 207.54
2024-05-04, fmrif3ta, 379.16, 224.35
2024-05-05, fmrif3ta, 324.3, 188.56
2024-05-06, fmrif3ta, 387.84, 196.72
2024-05-07, fmrif3ta, 378.61, 179.5
2024-05-08, fmrif3ta, 346.1, 172.23
2024-05-09, fmrif3ta, 443.77, 223.06
2024-05-10, fmrif3ta, 397.11, 202.63
2024-05-11, fmrif3ta, 387.05, 192.11
2024-05-13, fmrif3ta, 376.4, 188.49
2024-05-15, fmrif3ta, 402.16, 199.1
2024-05-17, fmrif3ta, 344.76, 214.08
2024-05-19, fmrif3ta, 403.89, 211.91
2024-05-21, fmrif3ta, 386.14, 226.32
2024-05-22, fmrif3ta, 367.5, 206.46
2024-05-23, fmrif3ta, 385.34, 186.97
2024-05-25, fmrif3ta, 368.29, 201.47
2024-05-28, fmrif3ta, 382.85, 205.2
2024-05-29, fmrif3ta, 374.78, 215.24
2024-05-31, fmrif3ta, 398.05, 198.95
2024-06-01, fmrif3ta, 382.18, 198.76
2024-06-03, fmrif3ta, 379.75, 209.23
2024-06-05, fmrif3ta, 363.91, 192.79
2024-06-08, fmrif3ta, 365.53, 167.97
2024-06-10, fmrif3ta, 389.42, 204.56
2024-06-11, fmrif3ta, 387.04, 199.42
2024-06-14, fmrif3ta, 387.45, 193.53
2024-06-15, fmrif3ta, 449.33, 227.78
2024-06-17, fmrif3ta, 393.57, 200.6
2024-06-18, fmrif3ta, 371.95, 200.28
2024-06-20, fmrif3ta, 361.06, 217.14
2024-06-21, fmrif3ta, 349.5, 176.63
2024-06-22, fmrif3ta, 423.28, 186.34
2024-06-24, fmrif3ta, 354.11, 170.34
2024-06-25, fmrif3ta, 398.49, 176.67
2024-06-26, fmrif3ta, 380.79, 205.73
2024-06-27, fmrif3ta, 418.09, 198.26
2024-06-28, fmrif3ta, 385.05, 206.59
2024-06-29, fmrif3ta, 428.53, 223.78
2024-06-30, fmrif3ta, 391.03, 209.86
2024-07-01, fmrif3ta, 389.12, 180.96
2024-07-02, fmrif3ta, 394.5, 213.66
2024-07-03, fmrif3ta, 381.43, 191.77
2024-07-05, fmrif3ta, 390.51, 194.79
2024-07-08, fmrif3ta, 404.12, 195
2024-07-09, fmrif3ta, 416.88, 187.89
2024-07-10, fmrif3ta, 389.43, 221.78
2024-07-13, fmrif3ta, 323.5, 201.23
2024-07-14, fmrif3ta, 427.14, 175.09
2024-07-15, fmrif3ta, 384.58, 215.47
2024-07-16, fmrif3ta, 402.87, 203.94
2024-07-17, fmrif3ta, 381.48, 187.22
2024-07-18, fmrif3ta, 387.27, 227.71
2024-07-19, fmrif3ta, 385.18, 210.19
2024-07-20, fmrif3ta, 392.43, 183.75
2024-07-21, fmrif3ta, 389.84, 213.53
2024-07-22, fmrif3ta, 353.6, 181.78
2024-07-23, fmrif3ta, 401.84, 217.88
2024-07-24, fmrif3ta, 415.9, 219.95
2024-07-25, fmrif3ta, 357.69, 188.8
2024-07-26, fmrif3ta, 387.87, 218.51
2024-07-27, fmrif3ta, 379.92, 215.39
2024-07-28, fmrif3ta, 359.45, 214.84
2024-07-29, fmrif3ta, 391.27, 193.66
2024-07-31, fmrif3ta, 380.38, 182.8
2024-08-01, fmrif3ta, 388.18, 207.97
2024-08-02, fmrif3ta, 422.35, 201.16
2024-08-04, fmrif3ta, 380.53, 177.98
2024-08-05, fmrif3ta, 384.52, 195.56
2024-08-06, fmrif3ta, 420.4, 237.96
2024-08-07, fmrif3ta, 379.92, 209
2024-08-08, fmrif3ta, 399.95, 221.13
2024-08-09, fmrif3ta, 401.86, 227
2024-08-10, fmrif3ta, 380.58, 211.24
2024-08-11, fmrif3ta, 372.62, 212.33
2024-08-12, fmrif3ta, 389.42, 202.51
2024-08-13, fmrif3ta, 401.64, 182.62
2024-08-14, fmrif3ta, 358.82, 189.88
2024-08-15, fmrif3ta, 392.51, 225.03
2024-08-16, fmrif3ta, 380.56, 212.37
2024-08-17, fmrif3ta, 430.1, 211.37
2024-08-19, fmrif3ta, 391.91, 206.05
2024-08-20, fmrif3ta, 421.52, 211.74
2024-08-21, fmrif3ta, 435.05, 188.4
2024-08-22, fmrif3ta, 418.56, 240.02
2024-08-23, fmrif3ta, 377.57, 218.15
2024-08-24, fmrif3ta, 379.6, 214.12
2024-08-25, fmrif3ta, 393.13, 189.91
2024-08-26, fmrif3ta, 370.69, 192.21
2024-08-27, fmrif3ta, 300.52, 198.03
2024-08-28, fmrif3ta, 356.14, 206.4
2024-08-29, fmrif3ta, 385.45, 229.56
2024-08-30, fmrif3ta, 406.22, 209.32
2024-08-31, fmrif3ta, 386.86, 209.31
2024-09-01, fmrif3ta, 368.89, 192.31
2024-09-03, fmrif3ta, 374.61, 202.77
2024-09-03, fmrif3ta, 353.05, 200.43
2024-09-05, fmrif3ta, 364.36, 199.67
2024-09-06, fmrif3ta, 397.04, 231.38
2024-09-07, fmrif3ta, 407.69, 203.34
2024-09-08, fmrif3ta, 400.35, 197.64
2024-09-09, fmrif3ta, 359.18, 191.32
2024-09-10, fmrif3ta, 351.58, 171.91
2024-09-11, fmrif3ta, 424.22, 197.4
2024-09-12, fmrif3ta, 331.22, 193.69
2024-09-13, fmrif3ta, 379.65, 215.34
2024-09-14, fmrif3ta, 410.36, 204.19
2024-09-16, fmrif3ta, 367.8, 182.93
2024-09-17, fmrif3ta, 398.7, 200.49
2024-09-18, fmrif3ta, 449.52, 211.63
2024-09-19, fmrif3ta, 377.78, 182.97
2024-09-20, fmrif3ta, 408.67, 223.89
2024-09-21, fmrif3ta, 311.29, 179.73
2024-09-23, fmrif3ta, 370.68, 190.09
2024-09-24, fmrif3ta, 393.03, 207.47
2024-09-25, fmrif3ta, 376, 186.95
2024-09-26, fmrif3ta, 388.04, 205.5
2024-09-27, fmrif3ta, 370.35, 206.05
2024-09-28, fmrif3ta, 372.97, 206.85
2024-09-30, fmrif3ta, 369.99, 171.32
2024-10-01, fmrif3ta, 384.82, 218.69
2024-10-02, fmrif3ta, 361.41, 164.61
2024-10-03, fmrif3ta, 376.41, 205.94
2024-10-05, fmrif3ta, 425.62, 200.87
2024-10-06, fmrif3ta, 434.07, 221.23
2024-10-07, fmrif3ta, 406.8, 182.6
2024-10-08, fmrif3ta, 381.9, 207.54
2024-10-10, fmrif3ta, 385.25, 200.76
2024-10-12, fmrif3ta, 296.17, 195.92
2024-10-13, fmrif3ta, 385.29, 214.36
2024-10-15, fmrif3ta, 369.75, 199.4
2024-10-16, fmrif3ta, 395.3, 212.06
2024-10-17, fmrif3ta, 425.14, 205.43
2024-10-18, fmrif3ta, 397.87, 215.33
2024-10-19, fmrif3ta, 379.58, 189.34
2024-10-20, fmrif3ta, 408.42, 166.35
2024-10-21, fmrif3ta, 374.11, 191.02
2024-10-22, fmrif3ta, 389.12, 207.63
2024-10-23, fmrif3ta, 401.87, 189.6
2024-10-24, fmrif3ta, 380.94, 184.6
2024-10-25, fmrif3ta, 370.6, 171.49
2024-10-26, fmrif3ta, 382.39, 209.26
2024-10-28, fmrif3ta, 424.85, 192.67
2024-10-29, fmrif3ta, 415.83, 198.25
2024-10-30, fmrif3ta, 400.48, 187.98
2024-10-31, fmrif3ta, 402.59, 231.59
2024-11-01, fmrif3ta, 370.84, 208.08
2024-11-02, fmrif3ta, 415.38, 207.34
2024-11-04, fmrif3ta, 398.24, 226.37
